,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C3orf52,410.83846455629094,0.549984106965632,0.0864649462568462,6.360775444558669,2.0073773170537699e-10,6.60984742120984e-09
KSR1,1061.2296031477802,-0.5821822262454929,0.0916862773044023,-6.34972040922355,2.15706605409105e-10,7.063497515247321e-09
TTC30A,178.391054160247,-0.889217434514226,0.140035860707216,-6.34992658325841,2.1541770963530201e-10,7.063497515247321e-09
DUSP4,180.473074558069,0.8399701695747951,0.13241241013785698,6.343590972328711,2.24470318023565e-10,7.31008557651466e-09
CYB5A,725.8636672302749,0.505206687232394,0.0799870042790416,6.31610962038203,2.68229819258922e-10,8.624583031180642e-09
MARCH7,3485.8535533801696,-0.598969148512542,0.0951928848373127,-6.292163007100769,3.13072462295009e-10,9.9762391614114e-09
LRSAM1,1076.42402262121,-0.5413355926049841,0.0860604746835468,-6.29017669953054,3.1710481171029403e-10,1.00686440303942e-08
ST7L,972.3558185786211,-0.529330879801739,0.0843718218337769,-6.273787483747681,3.52369388316983e-10,1.1030774812789199e-08
POMZP3,386.16926998942705,-0.5959139112435671,0.0950842889658931,-6.267217410200349,3.6755681602862597e-10,1.14658381505351e-08
PIBF1,1223.47049260068,-0.8787065848053158,0.14072398795869698,-6.24418478719646,4.26016112335435e-10,1.3172126387873798e-08
NEURL1B,346.41201947580396,0.762818301885637,0.122182679536498,6.2432605405234005,4.2854217846686896e-10,1.31832326562619e-08
PCDH17,180.61519434097,0.9840911780362379,0.157909561098842,6.231992358083089,4.60539948292573e-10,1.40220219530655e-08
C1orf112,1059.0013530635001,-0.5082990444457199,0.0817705136971597,-6.2161654790163805,5.094507782942131e-10,1.5332242119522198e-08
FAM188A,1536.04575628009,-0.511637600660215,0.0822989555720899,-6.21681766316032,5.07338719724802e-10,1.5332242119522198e-08
ZNF304,314.11924291352904,-0.6108788932663289,0.0983597302894752,-6.210660515929611,5.276234969654881e-10,1.5820697132450803e-08
USP15,2334.90639106424,-0.609412531305476,0.0985433439228648,-6.1842079540399695,6.241504557262941e-10,1.84352479290187e-08
C1QL4,406.76702779151606,0.637162782685144,0.10315785006358301,6.17658067022934,6.55047468796113e-10,1.92518992440722e-08
ID4,2959.9492736554303,0.5523712796808411,0.0895230734849954,6.170155449068919,6.82228864853874e-10,1.98864122065028e-08
C5orf51,1970.5514933755603,-0.503375521535146,0.08165222395216201,-6.16487215130921,7.05401100020569e-10,2.0461234844152902e-08
HAND1,473.008678005416,0.6443835917073,0.105213220158506,6.12454965960096,9.0940448269677e-10,2.57076647167429e-08
NPAS1,1227.20232930178,0.7026335347261301,0.11492119735731099,6.114046415140559,9.71360328987787e-10,2.7285557677301496e-08
TEX9,325.65653559336005,-0.683506221437093,0.11203402930116901,-6.10088047087636,1.0548577143264e-09,2.9215615293516803e-08
ZNF627,395.992667654309,-0.6028221159252359,0.0992204264690102,-6.07558481028619,1.23536666574366e-09,3.37420194832381e-08
SYT3,362.42467793501504,0.6922968245622649,0.11412880716627101,6.06592535006239,1.31196061005607e-09,3.5615223828102204e-08
KIF27,211.11978393506402,-0.745320938838467,0.12312760262891302,-6.05324007716405,1.41961051412837e-09,3.84202352385336e-08
CDK7,779.023899599074,-0.50174874585508,0.0829993698132424,-6.04521151165447,1.49214119022508e-09,3.99574736496871e-08
CGA,35.577464804742895,1.9640456398612902,0.324918917713808,6.04472541543806,1.4966467145564903e-09,4.00178574910209e-08
C14orf79,341.777903316861,-0.713390648819144,0.118539323930788,-6.018177134498219,1.7639211423879101e-09,4.6328333578728895e-08
SMPDL3B,473.311492093585,0.513110530527321,0.085354150406074,6.01154751217355,1.83760637153515e-09,4.7980145216250403e-08
GDF15,417.065956454796,-0.9253703838649731,0.15416871308424598,-6.002322814741929,1.94514479749735e-09,5.0417812892566105e-08
ENKD1,676.453210639968,-0.554634982468895,0.0927606080290629,-5.97920813860041,2.24224910959383e-09,5.728366583001139e-08
AC010642.1,179.57622848225898,-0.95652033389083,0.160165321955061,-5.97208136077804,2.34245651204137e-09,5.9567907803105e-08
RRN3P1,312.417462246563,-0.6224559145508941,0.104230798393945,-5.97190009231524,2.3450613273816703e-09,5.9567907803105e-08
NMB,343.889459845837,0.627482633235297,0.105565303632536,5.9440233830948,2.7810990292957697e-09,6.95509449225149e-08
TNXB,572.011741076243,-1.09006530781144,0.18391163348379702,-5.92711449059846,3.08304032143281e-09,7.6138249938051e-08
RIMKLB,1274.56774689154,-0.508192114821831,0.0857745650280822,-5.924741380564869,3.12789253249466e-09,7.713877547890089e-08
RPGRIP1L,717.022332839864,-0.607172343834972,0.102503398917016,-5.923436200652441,3.15283080819675e-09,7.75387062248221e-08
IFI6,247.15254172400398,0.8042940446245329,0.135964167136306,5.9154853926933395,3.30898276805677e-09,8.07092216719031e-08
WDSUB1,634.096758343406,-0.5075801295860479,0.0862965328526887,-5.881813704526299,4.05794942704339e-09,9.83029955889082e-08
LTN1,1928.7212788343,-0.560561738521131,0.09549260875281901,-5.87021075078319,4.3524150889239e-09,1.0486489525224401e-07
ADORA2B,429.12039144061697,0.650872903389396,0.11090687435162101,5.86864346501963,4.39375117736883e-09,1.0543223979054699e-07
HSD17B7,625.083665212423,-0.5953848398857429,0.10149271012314301,-5.8662818163329105,4.4567605384398296e-09,1.0672955632772899e-07
