"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPRML",98.4801091042106,0.592688406489433,0.226025421101126,2.62222011843641,0.00873589881317318,0.0318109802983888
"TAGLN",141.022107268652,-0.426797829975149,0.162840632154815,-2.62095414594919,0.00876840548528772,0.0319228128447791
"MAP3K13",844.862701721011,0.211646062415545,0.0807627510819004,2.62059005643477,0.00877777428728292,0.0319503796524417
"HRH4",23.1267609759489,-1.0204721565752,0.389442660536355,-2.62033993700066,0.00878421557710744,0.0319672814524248
"SPDYE1",44.9766636367238,-0.733312655332062,0.279897745977256,-2.61993054917867,0.00879476759666723,0.0319991329315204
"CTTNBP2NL",1120.17410147628,-0.357142798424488,0.136346519149074,-2.61937598886561,0.00880907951540923,0.0320438982119504
"SV2A",861.517114743904,0.169748402896667,0.0648064301290613,2.61931420321433,0.00881067534774341,0.0320438982119504
"KPNA5",2539.14313933728,0.253327313809169,0.0967179655785387,2.61923741151749,0.0088126591241248,0.0320445586679066
"WDR76",1818.91367940838,-0.207996200444069,0.0794134542874112,-2.61915568728813,0.00881477076199815,0.032045683688221
"COX6B2",33.7161344260485,0.779288563037289,0.297544678480099,2.61906402432739,0.0088171397404065,0.0320477436067391
"PYGM",75.9512152052438,-0.75649733100877,0.288941261677242,-2.6181699582035,0.00884027623227187,0.0321252711395925
"CFAP54",310.543572972857,-0.406424929879797,0.155287218441209,-2.61724650592327,0.00886423009962062,0.0322042432957152
"PUDP",617.28397128135,0.185328568289648,0.0708119717273532,2.61719259849474,0.00886563021947729,0.0322042432957152
"LINC01057",95.7085176946062,0.50333178918619,0.192338931495611,2.61690020461446,0.00887322791159631,0.0322252584755094
"EXOSC4",921.867101881296,0.193557279078754,0.0739709063435256,2.61666766904087,0.00887927437048199,0.0322406325467715
"WDR33",4233.51635432848,-0.179454443105561,0.0686051097138621,-2.61575914467638,0.00890293338625941,0.0323199384526498
"SYNDIG1L",23.1992931227267,-1.25262901240818,0.47890391417378,-2.61561656803171,0.00890665135277701,0.0323268356202752
"HES7",151.406115694156,0.546204856355802,0.208847825153377,2.61532460754462,0.00891426912482858,0.0323478814915463
"DPY19L2P2",188.204861171122,-0.332254833139405,0.127046523415436,-2.61522176449447,0.00891695386988463,0.032351021579355
"ATF5",2092.43314559542,-0.686846427182764,0.262648869371501,-2.61507475294425,0.00892079289939014,0.0323583473162089
"IMMT",4361.54820849748,0.143311312715646,0.0548090999586795,2.61473574321943,0.00892965135767369,0.0323819489463624
"SEMA6D",153.468715943959,-0.447538252558225,0.171163262989699,-2.61468638036633,0.00893094188363767,0.0323819489463624
"CD8A",54.1996623759439,-0.702444563517256,0.268820515015041,-2.613061594194,0.0089735128371403,0.0325296700830156
"FAM13C",177.639700694698,-0.528883349335331,0.202421218068184,-2.61278612184411,0.00898074841612251,0.0325492636744954
"MBOAT7",2110.35343601211,0.167872637037804,0.0642705276236359,2.61196917537157,0.00900223704477813,0.0326204966156918
"USP40",1575.49104044441,-0.232338398220231,0.0889699845014202,-2.61142451043725,0.00901658918859389,0.0326658460396064
"COX7A2L",3734.28551207213,-0.14115162867375,0.0540730835808546,-2.61038615381881,0.00904400692586927,0.0327498741359065
"ESPNL",253.079896139586,-0.60820147431371,0.232997306910941,-2.61033692782631,0.00904530858115049,0.0327498741359065
"SRCIN1",526.540767045645,-0.273056441781293,0.104604293736615,-2.61037508143621,0.009044299692086,0.0327498741359065
